intra_edge_id,province_code,from_load_center_id,to_load_center_id,distance_km,technology,reference_capacity_gw,unit_cost_yuan_per_kw,initial_capacity_gw,candidate_method,distance_validity,initial_capacity_method
INTRA_21_LC_156210100_LC_156210400,21,LC_156210100,LC_156210400,58.84774540328577,AC_500kV,2.9894425249184033,210.96890275350415,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210100_LC_156210500,21,LC_156210100,LC_156210500,79.60037356946971,AC_500kV,2.9894425249184033,229.29571047837288,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210100_LC_156210900,21,LC_156210100,LC_156210900,135.38697202136424,AC_500kV,2.7982305264886946,286.7312940277673,5.747303144141563,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210100_LC_156211000,21,LC_156210100,LC_156211000,64.32318477608011,AC_500kV,2.9894425249184033,215.80430595115274,1.3970975466172542,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210100_LC_156211200,21,LC_156210100,LC_156211200,90.93842541930337,AC_500kV,2.9894425249184033,239.3084324605016,1.1620730945002817,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210200_LC_156210800,21,LC_156210200,LC_156210800,158.7837131329555,AC_500kV,2.6813315527540897,315.33613166579073,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210200_LC_156211100,21,LC_156210200,LC_156211100,214.984605512667,AC_500kV,2.4285220390443705,392.7056651858827,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210200_LC_156211400,21,LC_156210200,LC_156211400,204.0067454718698,AC_500kV,2.4749820905783317,376.60876981533477,0.48647232416810837,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210300_LC_156210600,21,LC_156210300,LC_156210600,136.64634770663918,AC_500kV,2.79175138920864,288.2186544045335,0.38147623913909445,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210300_LC_156210800,21,LC_156210300,LC_156210800,74.8496847572487,AC_500kV,2.9894425249184033,225.10034015105546,0.4450919286663215,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210300_LC_156211000,21,LC_156210300,LC_156211000,38.26214391890987,AC_500kV,2.9894425249184033,192.7895975935109,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_21_LC_156210300_LC_156211100,21,LC_156210300,LC_156211100,85.66981922052192,AC_500kV,2.9894425249184033,234.6556852513333,0.709355801617896,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
